seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference
,,"Anaheim, CA",,2008179,,,,,,
,,"Birmingham, AL",,2008180,,,,,,
,,"Raleigh, NC",,2008181,,,,,,
,,"North Little Rock, AR",,2008182,,,,,,
,,"Washington, DC",,2008183,,,,,,
,,"Birmingham, AL",,2008184,,,,,,
,,"Omaha, NE",,2008185,,,,,,
,,"Anaheim, CA",,2008186,,,,,,
,,"Washington, DC",,2008187,,,,,,
,,"Denver, CO",,2008188,,,,,,
,,"Tampa, FL",,2008189,,,,,,
,,"Denver, CO",,2008190,,,,,,
,,"Tampa, FL",,2008191,,,,,,
,,"Chicago, IL",,2007192,,,,,,
,,"Winston-Salem, NC",,2007193,,,,,,
,,"New Orleans, LA",,2007194,,,,,,
,,"New Orleans, LA",,2007195,,,,,,
,,"Sacramento, CA",,2007196,,,,,,
,,"Winston-Salem, NC",,2007197,,,,,,
,,"Chicago, IL",,2007198,,,,,,
,,"Chicago, IL",,2007199,,,,,,
,,"Buffalo, NY",,2007200,,,,,,
,,"Sacramento, CA",,2007201,,,,,,
,,"Spokane, WA",,2007202,,,,,,
,,"Spokane, WA",,2007203,,,,,,
,,"Columbus, OH",,2007204,,,,,,
,,"Spokane, WA",,2007205,,,,,,
,,"Buffalo, NY",,2007206,,,,,,
,,"Buffalo, NY",,2007207,,,,,,
,,"Philadelphia, PA",,2006208,,,,,,
,,"Greensboro, NC",,2006209,,,,,,
,,"Dallas, TX",,2006210,,,,,,
,,"Philadelphia, PA",,2006211,,,,,,
,,"Dayton, OH",,2006212,,,,,,
,,"Dallas, TX",,2006213,,,,,,
,,"San Diego, CA",,2006214,,,,,,
,,"Greensboro, NC",,2006215,,,,,,
,,"Jacksonville, FL",,2006216,,,,,,
,,"Auburn Hills, MI",,2006217,,,,,,
,,"Salt Lake City, UT",,2006218,,,,,,
,,"Dayton, OH",,2006219,,,,,,
,,"Salt Lake City, UT",,2006220,,,,,,
,,"Jacksonville, FL",,2006221,,,,,,
,,"Auburn Hills, MI",,2006222,,,,,,
,,"San Diego, CA",,2006223,,,,,,
,,"Charlotte, NC",,2005224,,,,,,
,,"Boise, ID",,2005225,,,,,,
,,"Charlotte, NC",,2005226,,,,,,
,,"Indianapolis, IN",,2005227,,,,,,
,,"Worcester, MA",,2005228,,,,,,
,,"Cleveland, OH",,2005229,,,,,,
,,"Indianapolis, IN",,2005230,,,,,,
,,"Oklahoma City, OK",,2005231,,,,,,
,,"Oklahoma City, OK",,2005232,,,,,,
,,"Tucson, AZ",,2005233,,,,,,
,,"Tucson, AZ",,2005234,,,,,,
,,"Boise, ID",,2005235,,,,,,
,,"Nashville, TN",,2005236,,,,,,
,,"Nashville, TN",,2005237,,,,,,
,,"Worcester, MA",,2005238,,,,,,
,,"Cleveland, OH",,2005239,,,,,,
,,"Columbus, OH",,2004240,,,,,,
,,"Raleigh, NC",,2004241,,,,,,
,,"Buffalo, NY",,2004242,,,,,,
,,"Seattle, WA",,2004243,,,,,,
,,"Seattle, WA",,2004244,,,,,,
,,"Orlando, FL",,2004245,,,,,,
,,"Kansas City, MO",,2004246,,,,,,
,,"Buffalo, NY",,2004247,,,,,,
,,"Milwaukee, WI",,2004248,,,,,,
,,"Denver, CO",,2004249,,,,,,
,,"Milwaukee, WI",,2004250,,,,,,
,,"Orlando, FL",,2004251,,,,,,
,,"Kansas City, MO",,2004252,,,,,,
,,"Columbus, OH",,2004253,,,,,,
,,"Raleigh, NC",,2004254,,,,,,
,,"Denver, CO",,2004255,,,,,,
,,"Birmingham, AL",,2003256,,,,,,
,,"Oklahoma City, OK",,2003257,,,,,,
,,"Nashville, TN",,2003258,,,,,,
,,"Salt Lake City, UT",,2003259,,,,,,
,,"Tampa, FL",,2003260,,,,,,
,,"Tampa, FL",,2003261,,,,,,
,,"Boston, MA",,2003262,,,,,,
,,"Oklahoma City, OK",,2003263,,,,,,
,,"Nashville, TN",,2003264,,,,,,
,,"Boston, MA",,2003265,,,,,,
,,"Indianapolis, IN",,2003266,,,,,,
,,"Salt Lake City, UT",,2003267,,,,,,
,,"Spokane, WA",,2003268,,,,,,
,,"Birmingham, AL",,2003269,,,,,,
,,"Spokane, WA",,2003270,,,,,,
,,"Indianapolis, IN",,2003271,,,,,,
,,"Washington, DC",,2002272,,,,,,
,,"St. Louis, MO",,2002273,,,,,,
,,"Greenville, SC",,2002274,,,,,,
,,"Pittsburgh, PA",,2002275,,,,,,
,,"Washington, DC",,2002276,,,,,,
,,"Sacramento, CA",,2002277,,,,,,
,,"Greenville, SC",,2002278,,,,,,
,,"Dallas, TX",,2002279,,,,,,
,,"Chicago, IL",,2002280,,,,,,
,,"Dallas, TX",,2002281,,,,,,
,,"Pittsburgh, PA",,2002282,,,,,,
,,"Albuquerque, NM",,2002283,,,,,,
,,"St. Louis, MO",,2002284,,,,,,
,,"Chicago, IL",,2002285,,,,,,
,,"Sacramento, CA",,2002286,,,,,,
,,"Albuquerque, NM",,2002287,,,,,,
,,"Dayton, OH",,2001288,,,,,,
,,"Greensboro, NC",,2001289,,,,,,
,,"Memphis, TN",,2001290,,,,,,
,,"San Diego, CA",,2001291,,,,,,
,,"Kansas City, MO",,2001292,,,,,,
,,"Uniondale, NY",,2001293,,,,,,
,,"New Orleans, LA",,2001294,,,,,,
,,"Boise, ID",,2001295,,,,,,
,,"Kansas City, MO",,2001296,,,,,,
,,"Uniondale, NY",,2001297,,,,,,
,,"New Orleans, LA",,2001298,,,,,,
,,"Boise, ID",,2001299,,,,,,
,,"Dayton, OH",,2001300,,,,,,
,,"Greensboro, NC",,2001301,,,,,,
,,"Memphis, TN",,2001302,,,,,,
,,"San Diego, CA",,2001303,,,,,,
,,"Winston-Salem, NC",,2000304,,,,,,
,,"Cleveland, OH",,2000305,,,,,,
,,"Birmingham, AL",,2000306,,,,,,
,,"Tucson, AZ",,2000307,,,,,,
,,"Buffalo, NY",,2000308,,,,,,
,,"Minneapolis, MN",,2000309,,,,,,
,,"Nashville, TN",,2000310,,,,,,
,,"Tucson, AZ",,2000311,,,,,,
,,"Buffalo, NY",,2000312,,,,,,
,,"Minneapolis, MN",,2000313,,,,,,
,,"Nashville, TN",,2000314,,,,,,
,,"Tucson, AZ",,2000315,,,,,,
,,"Winston-Salem, NC",,2000316,,,,,,
,,"Cleveland, OH",,2000317,,,,,,
,,"Birmingham, AL",,2000318,,,,,,
,,"Salt Lake City, UT",,2000319,,,,,,
,,"Charlotte, NC",,1999320,,,,,,
,,"Milwaukee, WI",,1999321,,,,,,
,,"Indianapolis, IN",,1999322,,,,,,
,,"Denver, CO",,1999323,,,,,,
,,"Boston, MA",,1999324,,,,,,
,,"New Orleans, LA",,1999325,,,,,,
,,"Orlando, FL",,1999326,,,,,,
,,"Seattle, WA",,1999327,,,,,,
,,"Boston, MA",,1999328,,,,,,
,,"New Orleans, LA",,1999329,,,,,,
,,"Orlando, FL",,1999330,,,,,,
,,"Seattle, WA",,1999331,,,,,,
,,"Charlotte, NC",,1999332,,,,,,
,,"Milwaukee, WI",,1999333,,,,,,
,,"Indianapolis, IN",,1999334,,,,,,
,,"Denver, CO",,1999335,,,,,,
,,"Hartford, CT",,1998336,,,,,,
,,"Oklahoma City, OK",,1998337,,,,,,
,,"Lexington, KY",,1998338,,,,,,
,,"Sacramento, CA",,1998339,,,,,,
,,"Washington, DC",,1998340,,,,,,
,,"Chicago, IL",,1998341,,,,,,
,,"Atlanta, GA",,1998342,,,,,,
,,"Boise, ID",,1998343,,,,,,
,,"Washington, DC",,1998344,,,,,,
,,"Chicago, IL",,1998345,,,,,,
,,"Atlanta, GA",,1998346,,,,,,
,,"Boise, ID",,1998347,,,,,,
,,"Hartford, CT",,1998348,,,,,,
,,"Oklahoma City, OK",,1998349,,,,,,
,,"Lexington, KY",,1998350,,,,,,
,,"Sacramento, CA",,1998351,,,,,,
,,"Winston-Salem, NC",,1997352,,,,,,
,,"Kansas City, MO",,1997353,,,,,,
,,"Memphis, TN",,1997354,,,,,,
,,"Salt Lake City, UT",,1997355,,,,,,
,,"Pittsburgh, PA",,1997356,,,,,,
,,"Auburn Hills, MI",,1997357,,,,,,
,,"Charlotte, NC",,1997358,,,,,,
,,"Tucson, AZ",,1997359,,,,,,
,,"Pittsburgh, PA",,1997360,,,,,,
,,"Auburn Hills, MI",,1997361,,,,,,
,,"Charlotte, NC",,1997362,,,,,,
,,"Tucson, AZ",,1997363,,,,,,
,,"Winston-Salem, NC",,1997364,,,,,,
,,"Kansas City, MO",,1997365,,,,,,
,,"Memphis, TN",,1997366,,,,,,
,,"Salt Lake City, UT",,1997367,,,,,,
,,"Providence, RI",,1996368,,,,,,
,,"Dallas, TX",,1996369,,,,,,
,,"Indianapolis, IN",,1996370,,,,,,
,,"Albuquerque, NM",,1996371,,,,,,
,,"Richmond, VA",,1996372,,,,,,
,,"Milwaukee, WI",,1996373,,,,,,
,,"Orlando, FL",,1996374,,,,,,
,,"Tempe, AZ",,1996375,,,,,,
,,"Richmond, VA",,1996376,,,,,,
,,"Milwaukee, WI",,1996377,,,,,,
,,"Orlando, FL",,1996378,,,,,,
,,"Tempe, AZ",,1996379,,,,,,
,,"Providence, RI",,1996380,,,,,,
,,"Dallas, TX",,1996381,,,,,,
,,"Indianapolis, IN",,1996382,,,,,,
,,"Albuquerque, NM",,1996383,,,,,,
,,"Baltimore, MD",,1995384,,,,,,
,,"Dayton, OH",,1995385,,,,,,
,,"Memphis, TN",,1995386,,,,,,
,,"Boise, ID",,1995387,,,,,,
,,"Albany, NY",,1995388,,,,,,
,,"Austin, TX",,1995389,,,,,,
,,"Tallahassee, FL",,1995390,,,,,,
,,"Salt Lake City, UT",,1995391,,,,,,
,,"Albany, NY",,1995392,,,,,,
,,"Austin, TX",,1995393,,,,,,
,,"Tallahassee, FL",,1995394,,,,,,
,,"Salt Lake City, UT",,1995395,,,,,,
,,"Baltimore, MD",,1995396,,,,,,
,,"Dayton, OH",,1995397,,,,,,
,,"Memphis, TN",,1995398,,,,,,
,,"Boise, ID",,1995399,,,,,,
,,"Landover, MD",,1994400,,,,,,
,,"Oklahoma City, OK",,1994401,,,,,,
,,"Lexington, KY",,1994402,,,,,,
,,"Ogden, UT",,1994403,,,,,,
,,"Uniondale, NY",,1994404,,,,,,
,,"Park City, KS",,1994405,,,,,,
,,"St. Petersburg, FL",,1994406,,,,,,
,,"Sacramento, CA",,1994407,,,,,,
,,"Uniondale, NY",,1994408,,,,,,
,,"Park City, KS",,1994409,,,,,,
,,"St. Petersburg, FL",,1994410,,,,,,
,,"Sacramento, CA",,1994411,,,,,,
,,"Landover, MD",,1994412,,,,,,
,,"Oklahoma City, OK",,1994413,,,,,,
,,"Lexington, KY",,1994414,,,,,,
,,"Ogden, UT",,1994415,,,,,,
,,"Winston-Salem, NC",,1993416,,,,,,
,,"Indianapolis, IN",,1993417,,,,,,
,,"Nashville, TN",,1993418,,,,,,
,,"Tucson, AZ",,1993419,,,,,,
,,"Syracuse, NY",,1993420,,,,,,
,,"Rosemont, IL",,1993421,,,,,,
,,"Orlando, FL",,1993422,,,,,,
,,"Salt Lake City, UT",,1993423,,,,,,
,,"Syracuse, NY",,1993424,,,,,,
,,"Rosemont, IL",,1993425,,,,,,
,,"Orlando, FL",,1993426,,,,,,
,,"Salt Lake City, UT",,1993427,,,,,,
,,"Winston-Salem, NC",,1993428,,,,,,
,,"Indianapolis, IN",,1993429,,,,,,
,,"Nashville, TN",,1993430,,,,,,
,,"Tucson, AZ",,1993431,,,,,,
,,"Greensboro, NC",,1992432,,,,,,
,,"Dayton, OH",,1992433,,,,,,
,,"Cincinnati, OH",,1992434,,,,,,
,,"Tempe, AZ",,1992435,,,,,,
,,"Worcester, MA",,1992436,,,,,,
,,"Milwaukee, WI",,1992437,,,,,,
,,"Atlanta, GA",,1992438,,,,,,
,,"Boise, ID",,1992439,,,,,,
,,"Worcester, MA",,1992440,,,,,,
,,"Milwaukee, WI",,1992441,,,,,,
,,"Atlanta, GA",,1992442,,,,,,
,,"Boise, ID",,1992443,,,,,,
,,"Greensboro, NC",,1992444,,,,,,
,,"Dayton, OH",,1992445,,,,,,
,,"Cincinnati, OH",,1992446,,,,,,
,,"Tempe, AZ",,1992447,,,,,,
,,"Syracuse, NY",,1991448,,,,,,
,,"Dayton, OH",,1991449,,,,,,
,,"Atlanta, GA",,1991450,,,,,,
,,"Tucson, AZ",,1991451,,,,,,
,,"College Park, MD",,1991452,,,,,,
,,"Minneapolis, MN",,1991453,,,,,,
,,"Louisville, KY",,1991454,,,,,,
,,"Salt Lake City, UT",,1991455,,,,,,
,,"College Park, MD",,1991456,,,,,,
,,"Minneapolis, MN",,1991457,,,,,,
,,"Louisville, KY",,1991458,,,,,,
,,"Salt Lake City, UT",,1991459,,,,,,
,,"Syracuse, NY",,1991460,,,,,,
,,"Dayton, OH",,1991461,,,,,,
,,"Atlanta, GA",,1991462,,,,,,
,,"Tucson, AZ",,1991463,,,,,,
,,"Hartford, CT",,1990464,,,,,,
,,"Austin, TX",,1990465,,,,,,
,,"Knoxville, TN",,1990466,,,,,,
,,"Salt Lake City, UT",,1990467,,,,,,
,,"Atlanta, GA",,1990468,,,,,,
,,"Indianapolis, IN",,1990469,,,,,,
,,"Richmond, VA",,1990470,,,,,,
,,"Long Beach, CA",,1990471,,,,,,
,,"Atlanta, GA",,1990472,,,,,,
,,"Indianapolis, IN",,1990473,,,,,,
,,"Richmond, VA",,1990474,,,,,,
,,"Long Beach, CA",,1990475,,,,,,
,,"Hartford, CT",,1990476,,,,,,
,,"Austin, TX",,1990477,,,,,,
,,"Knoxville, TN",,1990478,,,,,,
,,"Salt Lake City, UT",,1990479,,,,,,
,,"Providence, RI",,1989480,,,,,,
,,"Indianapolis, IN",,1989481,,,,,,
,,"Nashville, TN",,1989482,,,,,,
,,"Boise, ID",,1989483,,,,,,
,,"Greensboro, NC",,1989484,,,,,,
,,"Dallas, TX",,1989485,,,,,,
,,"Atlanta, GA",,1989486,,,,,,
,,"Tucson, AZ",,1989487,,,,,,
,,"Greensboro, NC",,1989488,,,,,,
,,"Dallas, TX",,1989489,,,,,,
,,"Atlanta, GA",,1989490,,,,,,
,,"Tucson, AZ",,1989491,,,,,,
,,"Providence, RI",,1989492,,,,,,
,,"Indianapolis, IN",,1989493,,,,,,
,,"Nashville, TN",,1989494,,,,,,
,,"Boise, ID",,1989495,,,,,,
,,"Hartford, CT",,1988496,,,,,,
,,"South Bend, IN",,1988497,,,,,,
,,"Atlanta, GA",,1988498,,,,,,
,,"Los Angeles, CA",,1988499,,,,,,
,,"Chapel Hill, NC",,1988500,,,,,,
,,"Lincoln, NE",,1988501,,,,,,
,,"Cincinnati, OH",,1988502,,,,,,
,,"Salt Lake City, UT",,1988503,,,,,,
,,"Chapel Hill, NC",,1988504,,,,,,
,,"Lincoln, NE",,1988505,,,,,,
,,"Cincinnati, OH",,1988506,,,,,,
,,"Salt Lake City, UT",,1988507,,,,,,
,,"Hartford, CT",,1988508,,,,,,
,,"South Bend, IN",,1988509,,,,,,
,,"Atlanta, GA",,1988510,,,,,,
,,"Los Angeles, CA",,1988511,,,,,,
,,"Charlotte, NC",,1987512,,,,,,
,,"Indianapolis, IN",,1987513,,,,,,
,,"Atlanta, GA",,1987514,,,,,,
,,"Salt Lake City, UT",,1987515,,,,,,
,,"Syracuse, NY",,1987516,,,,,,
,,"Rosemont, IL",,1987517,,,,,,
,,"Birmingham, AL",,1987518,,,,,,
,,"Tucson, AZ",,1987519,,,,,,
,,"Syracuse, NY",,1987520,,,,,,
,,"Rosemont, IL",,1987521,,,,,,
,,"Birmingham, AL",,1987522,,,,,,
,,"Tucson, AZ",,1987523,,,,,,
,,"Charlotte, NC",,1987524,,,,,,
,,"Indianapolis, IN",,1987525,,,,,,
,,"Atlanta, GA",,1987526,,,,,,
,,"Salt Lake City, UT",,1987527,,,,,,
,,"Greensboro, NC",,1986528,,,,,,
,,"Dayton, OH",,1986529,,,,,,
,,"Charlotte, NC",,1986530,,,,,,
,,"Long Beach, CA",,1986531,,,,,,
,,"Syracuse, NY",,1986532,,,,,,
,,"Minneapolis, MN",,1986533,,,,,,
,,"Baton Rouge, LA",,1986534,,,,,,
,,"Ogden, UT",,1986535,,,,,,
,,"Syracuse, NY",,1986536,,,,,,
,,"Minneapolis, MN",,1986537,,,,,,
,,"Baton Rouge, LA",,1986538,,,,,,
,,"Ogden, UT",,1986539,,,,,,
,,"Greensboro, NC",,1986540,,,,,,
,,"Dayton, OH",,1986541,,,,,,
,,"Charlotte, NC",,1986542,,,,,,
,,"Long Beach, CA",,1986543,,,,,,
,,"Hartford, CT",,1985544,,,,,,
,,"Tulsa, OK",,1985545,,,,,,
,,"Dayton, OH",,1985546,,,,,,
,,"Salt Lake City, UT",,1985547,,,,,,
,,"Atlanta, GA",,1985548,,,,,,
,,"Houston, TX",,1985549,,,,,,
,,"South Bend, IN",,1985550,,,,,,
,,"Albuquerque, NM",,1985551,,,,,,
,,"Atlanta, GA",,1985552,,,,,,
,,"Houston, TX",,1985553,,,,,,
,,"South Bend, IN",,1985554,,,,,,
,,"Albuquerque, NM",,1985555,,,,,,
,,"Hartford, CT",,1985556,,,,,,
,,"Tulsa, OK",,1985557,,,,,,
,,"Dayton, OH",,1985558,,,,,,
,,"Salt Lake City, UT",,1985559,,,,,,
